,ISO3,year,ndvi
49,GUF,2009,0.827165641784668
49,GUF,2010,0.8213232116699218
49,GUF,2011,0.832274353027344
49,GUF,2012,0.8324156799316407
49,GUF,2013,0.8223776779174803
49,GUF,2014,0.8253333282470704
49,GUF,2015,0.8355036392211916
49,GUF,2016,0.8272356414794919
49,GUF,2017,0.8362705764770509
49,GUF,2018,0.827516372680664
49,GUF,2019,0.832723014831543
49,GUF,2020,0.8374261932373047
49,GUF,2021,0.8326028289794924
49,GUF,2022,0.8257356262207033
61,GUY,1982,0.7924128570556641
61,GUY,1983,0.7967567672729492
61,GUY,1984,0.7914734268188476
61,GUY,1985,0.8079693222045898
61,GUY,1986,0.8097571029663085
61,GUY,1987,0.8102142791748048
61,GUY,1988,0.8098985137939454
61,GUY,1989,0.809384910583496
61,GUY,1990,0.8063277893066406
61,GUY,1991,0.7819679641723633
61,GUY,1992,0.8022115249633789
61,GUY,1993,0.8059470138549807
61,GUY,1994,0.8042132034301758
61,GUY,1995,0.803751220703125
61,GUY,1996,0.8048922805786134
61,GUY,1997,0.806431510925293
61,GUY,1998,0.804848358154297
61,GUY,1999,0.8052312545776368
61,GUY,2000,0.8152959899902343
61,GUY,2001,0.8091198425292969
61,GUY,2002,0.8064939804077148
61,GUY,2003,0.7969887619018553
61,GUY,2004,0.8032319030761718
61,GUY,2005,0.8032518692016603
61,GUY,2006,0.8037665634155274
61,GUY,2007,0.7984423141479494
61,GUY,2008,0.7954196472167969
61,GUY,2009,0.8034463348388671
61,GUY,2010,0.796851860046387
61,GUY,2011,0.8117272796630858
61,GUY,2012,0.8033743515014649
61,GUY,2013,0.7977296905517578
61,GUY,2014,0.8045732955932619
61,GUY,2015,0.8058004913330078
61,GUY,2016,0.801993621826172
61,GUY,2017,0.8083992843627932
61,GUY,2018,0.8044295043945312
61,GUY,2019,0.8034749298095701
61,GUY,2020,0.8158505172729492
61,GUY,2021,0.8082975006103514
61,GUY,2022,0.7980162734985352
63,HND,1982,0.7400883666992188
63,HND,1983,0.738574169921875
63,HND,1984,0.7377500061035156
63,HND,1985,0.7403579345703126
63,HND,1986,0.7441268676757812
63,HND,1987,0.7339621643066407
63,HND,1988,0.7350780883789061
63,HND,1989,0.7492435119628906
63,HND,1990,0.7489793518066405
63,HND,1991,0.7355378723144531
63,HND,1992,0.7455212341308594
63,HND,1993,0.7514821533203123
63,HND,1994,0.749267858886719
63,HND,1995,0.740347058105469
63,HND,1996,0.7523505737304688
63,HND,1997,0.7515249938964844
63,HND,1998,0.7394159606933594
63,HND,1999,0.7229643615722655
63,HND,2000,0.7428384765624999
63,HND,2001,0.7430259121981534
63,HND,2002,0.7381106234463779
63,HND,2003,0.7392167691317472
63,HND,2004,0.7344431318803267
63,HND,2005,0.7360248135653409
63,HND,2006,0.747672579678622
63,HND,2007,0.7516308427290482
63,HND,2008,0.7426475219726564
63,HND,2009,0.745746515447443
63,HND,2010,0.7355628776550293
63,HND,2011,0.7457718117453838
63,HND,2012,0.7501957286487926
63,HND,2013,0.7576905822753907
63,HND,2014,0.7551670959472657
63,HND,2015,0.7527662292480469
63,HND,2016,0.7553214111328125
63,HND,2017,0.7563979187011719
63,HND,2018,0.7485545349121093
63,HND,2019,0.7405038513183594
63,HND,2020,0.7312658487955729
63,HND,2021,0.749941943359375
63,HND,2022,0.7486418640136719
62,HTI,1982,0.5844821853637695
62,HTI,1983,0.5872803344726562
62,HTI,1984,0.5795768814086915
62,HTI,1985,0.6095189895629883
62,HTI,1986,0.608091537475586
62,HTI,1987,0.6027010345458984
62,HTI,1988,0.6080580062866211
62,HTI,1989,0.6131631088256836
62,HTI,1990,0.6084967803955078
62,HTI,1991,0.5966720123291016
62,HTI,1992,0.6129155960083009
62,HTI,1993,0.6002888717651369
62,HTI,1994,0.6061354904174803
62,HTI,1995,0.6069474792480467
62,HTI,1996,0.6078324432373047
62,HTI,1997,0.605455894470215
62,HTI,1998,0.6048526992797851
62,HTI,1999,0.5950482482910158
62,HTI,2000,0.5933704528808593
62,HTI,2001,0.595936492919922
